,Time,1,2,3
S/N,,227659,227659,227659
Type,,Tinytag Ultra H°C/%RH,Tinytag Ultra H°C/%RH,csv file
Description,,GH South wall,GH South wall,GH South wall
Property,,Temperature,Humidity,Dew Point
84,2020-02-04 08:24:00,12.3 °C,56.7 %RH,3.9 °C
85,2020-02-04 08:39:00,12.3 °C,56.7 %RH,3.9 °C
86,2020-02-04 08:54:00,12.3 °C,56.7 %RH,3.9 °C
87,2020-02-04 09:09:00,12.3 °C,56.3 %RH,3.8 °C
88,2020-02-04 09:24:00,12.3 °C,56.7 %RH,3.9 °C
89,2020-02-04 09:39:00,12.3 °C,56.7 %RH,3.9 °C
90,2020-02-04 09:54:00,12.3 °C,56.3 %RH,3.8 °C
91,2020-02-04 10:09:00,12.3 °C,56.7 %RH,3.9 °C
92,2020-02-04 10:24:00,12.3 °C,56.7 %RH,3.9 °C
93,2020-02-04 10:39:00,12.3 °C,56.3 %RH,3.8 °C
94,2020-02-04 10:54:00,12.6 °C,56.3 %RH,4.1 °C
95,2020-02-04 11:09:00,12.6 °C,56.3 %RH,4.1 °C
96,2020-02-04 11:24:00,12.3 °C,56.3 %RH,3.8 °C
97,2020-02-04 11:39:00,12.3 °C,56.3 %RH,3.8 °C
98,2020-02-04 11:54:00,12.3 °C,55.8 %RH,3.7 °C
99,2020-02-04 12:09:00,12.3 °C,55.8 %RH,3.7 °C
100,2020-02-04 12:24:00,12.3 °C,55.8 %RH,3.7 °C
101,2020-02-04 12:39:00,12.6 °C,55.8 %RH,4.0 °C
102,2020-02-04 12:54:00,12.6 °C,55.8 %RH,4.0 °C
103,2020-02-04 13:09:00,12.6 °C,55.8 %RH,4.0 °C
104,2020-02-04 13:24:00,12.6 °C,55.4 %RH,3.9 °C
105,2020-02-04 13:39:00,12.6 °C,55.8 %RH,4.0 °C
106,2020-02-04 13:54:00,12.6 °C,55.8 %RH,4.0 °C
107,2020-02-04 14:09:00,12.6 °C,55.8 %RH,4.0 °C
108,2020-02-04 14:24:00,12.6 °C,55.8 %RH,4.0 °C
109,2020-02-04 14:39:00,12.6 °C,55.8 %RH,4.0 °C
110,2020-02-04 14:54:00,12.8 °C,55.8 %RH,4.2 °C
111,2020-02-04 15:09:00,12.6 °C,55.8 %RH,4.0 °C
112,2020-02-04 15:24:00,12.3 °C,55.8 %RH,3.7 °C
