,Time,1,2,3
S/N,,240424,240424,240424
Type,,Tinytag Ultra H°C/%RH,Tinytag Ultra H°C/%RH,csv file
Description,,Strongroom West Wall,Strongroom West Wall,Strongroom West Wall
Property,,Temperature,Humidity,Dew Point
114,2020-04-29 20:22:00,18.0 °C,50.2 %RH,7.5 °C
115,2020-04-29 20:37:00,18.0 °C,50.2 %RH,7.5 °C
116,2020-04-29 20:52:00,18.0 °C,50.2 %RH,7.5 °C
117,2020-04-29 21:07:00,18.0 °C,50.2 %RH,7.5 °C
118,2020-04-29 21:22:00,18.0 °C,50.2 %RH,7.5 °C
119,2020-04-29 21:37:00,18.0 °C,50.2 %RH,7.5 °C
120,2020-04-29 21:52:00,18.0 °C,50.2 %RH,7.5 °C
121,2020-04-29 22:07:00,18.0 °C,50.2 %RH,7.5 °C
122,2020-04-29 22:22:00,18.0 °C,50.2 %RH,7.5 °C
123,2020-04-29 22:37:00,18.0 °C,50.2 %RH,7.5 °C
124,2020-04-29 22:52:00,18.0 °C,50.2 %RH,7.5 °C
125,2020-04-29 23:07:00,18.0 °C,50.2 %RH,7.5 °C
126,2020-04-29 23:22:00,17.7 °C,50.2 %RH,7.2 °C
127,2020-04-29 23:37:00,17.7 °C,50.2 %RH,7.2 °C
128,2020-04-29 23:52:00,18.0 °C,50.2 %RH,7.5 °C
129,2020-04-30 00:07:00,18.0 °C,50.2 %RH,7.5 °C
130,2020-04-30 00:22:00,18.0 °C,50.2 %RH,7.5 °C
131,2020-04-30 00:37:00,17.7 °C,50.2 %RH,7.2 °C
132,2020-04-30 00:52:00,18.0 °C,50.2 %RH,7.5 °C
133,2020-04-30 01:07:00,18.0 °C,50.2 %RH,7.5 °C
134,2020-04-30 01:22:00,18.0 °C,50.2 %RH,7.5 °C
135,2020-04-30 01:37:00,18.0 °C,50.2 %RH,7.5 °C
136,2020-04-30 01:52:00,18.0 °C,50.2 %RH,7.5 °C
137,2020-04-30 02:07:00,18.0 °C,50.2 %RH,7.5 °C
138,2020-04-30 02:22:00,18.0 °C,50.2 %RH,7.5 °C
139,2020-04-30 02:37:00,18.0 °C,50.2 %RH,7.5 °C
140,2020-04-30 02:52:00,17.7 °C,50.2 %RH,7.2 °C
141,2020-04-30 03:07:00,18.0 °C,50.2 %RH,7.5 °C
142,2020-04-30 03:22:00,17.7 °C,50.2 %RH,7.2 °C
143,2020-04-30 03:37:00,18.0 °C,50.2 %RH,7.5 °C
144,2020-04-30 03:52:00,18.0 °C,50.2 %RH,7.5 °C
145,2020-04-30 04:07:00,18.0 °C,50.2 %RH,7.5 °C
146,2020-04-30 04:22:00,18.0 °C,50.2 %RH,7.5 °C
147,2020-04-30 04:37:00,18.0 °C,50.2 %RH,7.5 °C
148,2020-04-30 04:52:00,18.0 °C,50.2 %RH,7.5 °C
149,2020-04-30 05:07:00,18.0 °C,50.2 %RH,7.5 °C
150,2020-04-30 05:22:00,18.0 °C,50.2 %RH,7.5 °C
151,2020-04-30 05:37:00,18.0 °C,50.2 %RH,7.5 °C
152,2020-04-30 05:52:00,18.0 °C,50.2 %RH,7.5 °C
153,2020-04-30 06:07:00,18.0 °C,50.2 %RH,7.5 °C
154,2020-04-30 06:22:00,18.0 °C,50.2 %RH,7.5 °C
155,2020-04-30 06:37:00,18.0 °C,50.2 %RH,7.5 °C
156,2020-04-30 06:52:00,18.0 °C,50.2 %RH,7.5 °C
157,2020-04-30 07:07:00,18.0 °C,50.2 %RH,7.5 °C
158,2020-04-30 07:22:00,18.0 °C,50.2 %RH,7.5 °C
159,2020-04-30 07:37:00,18.0 °C,50.2 %RH,7.5 °C
160,2020-04-30 07:52:00,18.0 °C,50.2 %RH,7.5 °C
161,2020-04-30 08:07:00,18.0 °C,50.2 %RH,7.5 °C
162,2020-04-30 08:22:00,18.0 °C,50.2 %RH,7.5 °C
163,2020-04-30 08:37:00,18.0 °C,50.2 %RH,7.5 °C
164,2020-04-30 08:52:00,18.0 °C,50.2 %RH,7.5 °C
165,2020-04-30 09:07:00,18.0 °C,50.2 %RH,7.5 °C
166,2020-04-30 09:22:00,18.0 °C,50.2 %RH,7.5 °C
167,2020-04-30 09:37:00,18.0 °C,50.2 %RH,7.5 °C
168,2020-04-30 09:52:00,18.0 °C,50.2 %RH,7.5 °C
169,2020-04-30 10:07:00,18.0 °C,50.2 %RH,7.5 °C
170,2020-04-30 10:22:00,18.0 °C,50.2 %RH,7.5 °C
171,2020-04-30 10:37:00,18.0 °C,50.2 %RH,7.5 °C
172,2020-04-30 10:52:00,18.0 °C,50.2 %RH,7.5 °C
173,2020-04-30 11:07:00,18.0 °C,50.2 %RH,7.5 °C
174,2020-04-30 11:22:00,18.0 °C,50.2 %RH,7.5 °C
175,2020-04-30 11:37:00,18.0 °C,50.2 %RH,7.5 °C
176,2020-04-30 11:52:00,18.0 °C,50.2 %RH,7.5 °C
177,2020-04-30 12:07:00,18.0 °C,50.2 %RH,7.5 °C
178,2020-04-30 12:22:00,18.0 °C,50.2 %RH,7.5 °C
179,2020-04-30 12:37:00,18.0 °C,50.2 %RH,7.5 °C
180,2020-04-30 12:52:00,18.0 °C,50.2 %RH,7.5 °C
181,2020-04-30 13:07:00,17.7 °C,50.2 %RH,7.2 °C
182,2020-04-30 13:22:00,18.0 °C,50.2 %RH,7.5 °C
183,2020-04-30 13:37:00,18.0 °C,50.2 %RH,7.5 °C
184,2020-04-30 13:52:00,17.7 °C,50.2 %RH,7.2 °C
185,2020-04-30 14:07:00,18.0 °C,50.2 %RH,7.5 °C
186,2020-04-30 14:22:00,18.0 °C,50.2 %RH,7.5 °C
187,2020-04-30 14:37:00,17.7 °C,50.2 %RH,7.2 °C
