,Time,1,2,3
S/N,,227659,227659,227659
Type,,Tinytag Ultra H°C/%RH,Tinytag Ultra H°C/%RH,csv file
Description,,GH South wall,GH South wall,GH South wall
Property,,Temperature,Humidity,Dew Point
1,2020-07-21 11:00:00,26.1 °C,38.1 %RH,10.8 °C
2,2020-07-21 11:30:00,26.1 °C,39.4 %RH,11.2 °C
3,2020-07-21 12:00:00,25.8 °C,39.4 %RH,10.9 °C
4,2020-07-21 12:30:00,25.8 °C,39.4 %RH,10.9 °C
5,2020-07-21 13:00:00,26.1 °C,39.4 %RH,11.2 °C
6,2020-07-21 13:30:00,25.8 °C,39.0 %RH,10.8 °C
7,2020-07-21 14:00:00,26.1 °C,39.4 %RH,11.2 °C
8,2020-07-21 14:30:00,26.1 °C,39.4 %RH,11.2 °C
9,2020-07-21 15:00:00,26.1 °C,39.0 %RH,11.1 °C
10,2020-07-21 15:30:00,26.1 °C,39.0 %RH,11.1 °C
11,2020-07-21 16:00:00,26.5 °C,39.0 %RH,11.4 °C
12,2020-07-21 16:30:00,26.5 °C,38.6 %RH,11.2 °C
13,2020-07-21 17:00:00,26.1 °C,38.6 %RH,10.9 °C
14,2020-07-21 17:30:00,26.5 °C,38.1 %RH,11.1 °C
15,2020-07-21 18:00:00,26.5 °C,38.1 %RH,11.1 °C
16,2020-07-21 18:30:00,26.5 °C,37.7 %RH,10.9 °C
17,2020-07-21 19:00:00,26.1 °C,37.7 %RH,10.6 °C
18,2020-07-21 19:30:00,26.9 °C,37.7 %RH,11.2 °C
19,2020-07-21 20:00:00,26.9 °C,37.7 %RH,11.2 °C
20,2020-07-21 20:30:00,26.1 °C,37.7 %RH,10.6 °C
21,2020-07-21 21:00:00,26.5 °C,38.1 %RH,11.1 °C
22,2020-07-21 21:30:00,26.5 °C,38.6 %RH,11.2 °C
23,2020-07-21 22:00:00,26.1 °C,38.6 %RH,10.9 °C
24,2020-07-21 22:30:00,26.5 °C,38.6 %RH,11.2 °C
25,2020-07-21 23:00:00,26.1 °C,39.0 %RH,11.1 °C
26,2020-07-21 23:30:00,26.1 °C,39.0 %RH,11.1 °C
27,2020-07-22 00:00:00,25.8 °C,39.4 %RH,10.9 °C
28,2020-07-22 00:30:00,26.1 °C,39.4 %RH,11.2 °C
29,2020-07-22 01:00:00,26.1 °C,39.8 %RH,11.4 °C
30,2020-07-22 01:30:00,25.8 °C,39.8 %RH,11.1 °C
31,2020-07-22 02:00:00,25.8 °C,40.2 %RH,11.2 °C
32,2020-07-22 02:30:00,25.8 °C,40.2 %RH,11.2 °C
33,2020-07-22 03:00:00,25.8 °C,39.8 %RH,11.1 °C
34,2020-07-22 03:30:00,25.8 °C,39.8 %RH,11.1 °C
35,2020-07-22 04:00:00,25.8 °C,39.8 %RH,11.1 °C
36,2020-07-22 04:30:00,25.4 °C,40.2 %RH,10.9 °C
37,2020-07-22 05:00:00,25.8 °C,40.7 %RH,11.4 °C
38,2020-07-22 05:30:00,25.4 °C,40.7 %RH,11.1 °C
39,2020-07-22 06:00:00,25.8 °C,41.1 %RH,11.6 °C
40,2020-07-22 06:30:00,25.8 °C,41.1 %RH,11.6 °C
41,2020-07-22 07:00:00,25.8 °C,40.7 %RH,11.4 °C
42,2020-07-22 07:30:00,25.8 °C,40.7 %RH,11.4 °C
43,2020-07-22 08:00:00,25.8 °C,41.1 %RH,11.6 °C
