,Time,1,2,3
S/N,,227659,227659,227659
Type,,Tinytag Ultra H°C/%RH,Tinytag Ultra H°C/%RH,csv file
Description,,GH South wall,GH South wall,GH South wall
Property,,Temperature,Humidity,Dew Point
1,2020-01-06 11:26:00,13.1 °C,56.3 %RH,4.6 °C
2,2020-01-06 11:41:00,12.8 °C,57.9 %RH,4.8 °C
3,2020-01-06 11:56:00,12.8 °C,57.9 %RH,4.8 °C
4,2020-01-06 12:11:00,12.8 °C,58.4 %RH,4.9 °C
5,2020-01-06 12:26:00,12.6 °C,58.4 %RH,4.6 °C
6,2020-01-06 12:41:00,12.6 °C,58.4 %RH,4.6 °C
7,2020-01-06 12:56:00,12.6 °C,58.4 %RH,4.6 °C
8,2020-01-06 13:11:00,12.6 °C,58.4 %RH,4.6 °C
9,2020-01-06 13:26:00,12.6 °C,58.4 %RH,4.6 °C
10,2020-01-06 13:41:00,12.8 °C,58.4 %RH,4.9 °C
11,2020-01-06 13:56:00,12.6 °C,58.4 %RH,4.6 °C
12,2020-01-06 14:11:00,12.8 °C,58.4 %RH,4.9 °C
13,2020-01-06 14:26:00,12.8 °C,58.4 %RH,4.9 °C
14,2020-01-06 14:41:00,12.8 °C,58.4 %RH,4.9 °C
15,2020-01-06 14:56:00,12.8 °C,58.4 %RH,4.9 °C
16,2020-01-06 15:11:00,12.8 °C,58.4 %RH,4.9 °C
17,2020-01-06 15:26:00,12.8 °C,58.4 %RH,4.9 °C
18,2020-01-06 15:41:00,12.8 °C,58.4 %RH,4.9 °C
19,2020-01-06 15:56:00,12.8 °C,58.4 %RH,4.9 °C
20,2020-01-06 16:11:00,12.8 °C,58.4 %RH,4.9 °C
21,2020-01-06 16:26:00,12.8 °C,58.8 %RH,5.0 °C
22,2020-01-06 16:41:00,12.8 °C,58.8 %RH,5.0 °C
23,2020-01-06 16:56:00,13.1 °C,58.8 %RH,5.2 °C
24,2020-01-06 17:11:00,12.8 °C,58.8 %RH,5.0 °C
25,2020-01-06 17:26:00,12.8 °C,59.2 %RH,5.1 °C
26,2020-01-06 17:41:00,12.8 °C,59.2 %RH,5.1 °C
27,2020-01-06 17:56:00,13.1 °C,59.2 %RH,5.3 °C
28,2020-01-06 18:11:00,12.8 °C,59.6 %RH,5.2 °C
29,2020-01-06 18:26:00,12.8 °C,59.6 %RH,5.2 °C
30,2020-01-06 18:41:00,12.8 °C,60.1 %RH,5.3 °C
31,2020-01-06 18:56:00,13.1 °C,59.6 %RH,5.4 °C
32,2020-01-06 19:11:00,12.6 °C,60.1 %RH,5.0 °C
33,2020-01-06 19:26:00,12.8 °C,60.1 %RH,5.3 °C
34,2020-01-06 19:41:00,13.1 °C,60.1 %RH,5.5 °C
35,2020-01-06 19:56:00,13.1 °C,60.5 %RH,5.6 °C
36,2020-01-06 20:11:00,12.8 °C,60.5 %RH,5.4 °C
37,2020-01-06 20:26:00,12.8 °C,60.5 %RH,5.4 °C
38,2020-01-06 20:41:00,12.8 °C,60.5 %RH,5.4 °C
39,2020-01-06 20:56:00,12.8 °C,60.5 %RH,5.4 °C
40,2020-01-06 21:11:00,12.8 °C,60.5 %RH,5.4 °C
41,2020-01-06 21:26:00,13.1 °C,60.5 %RH,5.6 °C
42,2020-01-06 21:41:00,13.1 °C,60.5 %RH,5.6 °C
43,2020-01-06 21:56:00,12.8 °C,60.9 %RH,5.5 °C
