[#I]Device Description,,,
#01     ,,,
,,,
[#S]Device Information,,,
Version = V2.2-2,,,
Serial Number = A19030070,,,
File Name = A19030070_#01.xls,,,
Log Interval = 12:00:00,,,
,,,
[#1],,,
Humidity = %rh,,,
Low Alarm Threshold = 40,,,
High Alarm Threshold = 60,,,
,,,
[#2],,,
Temperature = ∞C,,,
Low Alarm Threshold = 10,,,
High Alarm Threshold = 50,,,
,,,
[#H],,,
Date,Time,Humidity,Temperature
,,,
[#D],,,
24/01/2020,13:41:43,35.1,22.4
25/01/2020,01:41:43,34,22.5
25/01/2020,13:41:43,34.5,22.7
26/01/2020,01:41:43,35.8,22.7
26/01/2020,13:41:43,37.1,22.7
27/01/2020,01:41:43,38,22.7
27/01/2020,13:41:43,38.6,22.7
28/01/2020,01:41:43,38.4,22.6
28/01/2020,13:41:43,37.7,22.5
29/01/2020,01:41:43,37.9,22.5
29/01/2020,13:41:43,34.1,22.3
30/01/2020,01:41:43,31.6,22.4
30/01/2020,13:41:43,31.1,22.4
31/01/2020,01:41:43,32.8,22.5
31/01/2020,13:41:43,34.4,22.5
01/02/2020,01:41:43,36.3,22.4
01/02/2020,13:41:43,37.6,22.4
02/02/2020,01:41:43,37.4,22.3
02/02/2020,13:41:43,38,22.3
03/02/2020,01:41:43,38,22.5
03/02/2020,13:41:43,36.1,22.6
04/02/2020,01:41:43,34.6,22.7
04/02/2020,13:41:43,35.5,21.3
05/02/2020,01:41:43,33.8,21.2
05/02/2020,13:41:43,34.9,21.3
06/02/2020,01:41:43,36.5,21.4
06/02/2020,13:41:43,39.6,19
07/02/2020,01:41:43,41.2,18.8
07/02/2020,13:41:43,42.4,18.6
08/02/2020,01:41:43,42,18.8
08/02/2020,13:41:43,42.4,18.7
09/02/2020,01:41:43,42.8,18.6
09/02/2020,13:41:43,43.1,18.6
10/02/2020,01:41:43,42.6,18.7
10/02/2020,12:17:44,40.9,19.1
10/02/2020,12:21:01,43.6,18.8
11/02/2020,00:21:01,32.5,22.3
11/02/2020,12:21:01,32.8,22.3
12/02/2020,00:21:01,34.2,21.5
12/02/2020,12:21:01,34,22.6
13/02/2020,00:21:01,33.9,21.8
13/02/2020,12:21:01,34.7,21.8
14/02/2020,00:21:01,33.2,21.4
14/02/2020,12:21:01,33.3,21.5
15/02/2020,00:21:01,32.2,21.7
15/02/2020,12:21:01,33.4,21.8
16/02/2020,00:21:01,34,22
16/02/2020,12:21:01,34.2,22.2
17/02/2020,00:21:01,34.6,22.1
17/02/2020,12:21:01,32.1,22
17/02/2020,14:25:37,38,19.3
17/02/2020,15:30:33,42.4,18.5
18/02/2020,03:30:33,44.9,18.1
18/02/2020,15:30:33,46.9,18
19/02/2020,03:30:33,47.5,18
19/02/2020,15:30:33,47.4,18.1
20/02/2020,03:30:33,47.1,18.1
20/02/2020,15:30:33,46.8,18.1
