Timestamp,P0025_[Large Arch 2A Space Temp 1][Large Arch 2A Space Temp 1] [P25] [S25V] [Synchronized@1800](°C)
25-Sep-20 12:00:00 am,21.0
26-Sep-20 12:00:00 am,21.0
27-Sep-20 12:00:00 am,21.0
28-Sep-20 12:00:00 am,20.9
29-Sep-20 12:00:00 am,20.8
30-Sep-20 12:00:00 am,20.7
01-Oct-20 12:00:00 am,20.6
02-Oct-20 12:00:00 am,20.6
03-Oct-20 12:00:00 am,20.4
04-Oct-20 12:00:00 am,20.3
05-Oct-20 12:00:00 am,20.1
06-Oct-20 12:00:00 am,20.0
07-Oct-20 12:00:00 am,19.9
08-Oct-20 12:00:00 am,19.8
09-Oct-20 12:00:00 am,19.7
10-Oct-20 12:00:00 am,19.6
11-Oct-20 12:00:00 am,19.4
12-Oct-20 12:00:00 am,19.4
13-Oct-20 12:00:00 am,19.2
14-Oct-20 12:00:00 am,19.1
15-Oct-20 12:00:00 am,18.9
16-Oct-20 12:00:00 am,18.8
17-Oct-20 12:00:00 am,18.9
18-Oct-20 12:00:00 am,18.9
19-Oct-20 12:00:00 am,18.9
20-Oct-20 12:00:00 am,18.9
21-Oct-20 12:00:00 am,18.8
22-Oct-20 12:00:00 am,18.6
23-Oct-20 12:00:00 am,18.6
24-Oct-20 12:00:00 am,18.6
25-Oct-20 12:00:00 am,18.5
26-Oct-20 12:00:00 am,18.5
27-Oct-20 12:00:00 am,18.4
28-Oct-20 12:00:00 am,18.3
29-Oct-20 12:00:00 am,18.2
30-Oct-20 12:00:00 am,18.2
31-Oct-20 12:00:00 am,18.2
01-Nov-20 12:00:00 am,18.2
02-Nov-20 12:00:00 am,18.2
03-Nov-20 12:00:00 am,18.2
04-Nov-20 12:00:00 am,18.1
05-Nov-20 12:00:00 am,18.0
06-Nov-20 12:00:00 am,17.9
07-Nov-20 12:00:00 am,17.8
08-Nov-20 12:00:00 am,17.8
09-Nov-20 12:00:00 am,17.7
10-Nov-20 12:00:00 am,17.7
11-Nov-20 12:00:00 am,17.6
12-Nov-20 12:00:00 am,17.6
13-Nov-20 12:00:00 am,17.6
14-Nov-20 12:00:00 am,17.5
15-Nov-20 12:00:00 am,17.5
16-Nov-20 12:00:00 am,17.5
17-Nov-20 12:00:00 am,17.4
18-Nov-20 12:00:00 am,17.4
19-Nov-20 12:00:00 am,17.4
20-Nov-20 12:00:00 am,17.3
21-Nov-20 12:00:00 am,17.2
22-Nov-20 12:00:00 am,17.1
23-Nov-20 12:00:00 am,17.1
24-Nov-20 12:00:00 am,17.1
25-Nov-20 12:00:00 am,17.0
26-Nov-20 12:00:00 am,17.0
27-Nov-20 12:00:00 am,16.9
28-Nov-20 12:00:00 am,16.8
29-Nov-20 12:00:00 am,16.7
30-Nov-20 12:00:00 am,16.7
01-Dec-20 12:00:00 am,16.6
02-Dec-20 12:00:00 am,16.5
03-Dec-20 12:00:00 am,16.5
04-Dec-20 12:00:00 am,16.5
05-Dec-20 12:00:00 am,16.3
06-Dec-20 12:00:00 am,16.1
07-Dec-20 12:00:00 am,16.0
08-Dec-20 12:00:00 am,15.9
09-Dec-20 12:00:00 am,15.8
10-Dec-20 12:00:00 am,15.7
11-Dec-20 12:00:00 am,15.7
12-Dec-20 12:00:00 am,15.6
13-Dec-20 12:00:00 am,15.5
14-Dec-20 12:00:00 am,15.5
15-Dec-20 12:00:00 am,15.5
16-Dec-20 12:00:00 am,15.4
17-Dec-20 12:00:00 am,15.4
18-Dec-20 12:00:00 am,15.3
19-Dec-20 12:00:00 am,15.4
20-Dec-20 12:00:00 am,15.3
21-Dec-20 12:00:00 am,15.3
22-Dec-20 12:00:00 am,15.3
23-Dec-20 12:00:00 am,15.4
24-Dec-20 12:00:00 am,15.4
25-Dec-20 12:00:00 am,15.3
26-Dec-20 12:00:00 am,15.2
27-Dec-20 12:00:00 am,15.2
28-Dec-20 12:00:00 am,15.1
29-Dec-20 12:00:00 am,15.0
30-Dec-20 12:00:00 am,14.9
31-Dec-20 12:00:00 am,14.7
01-Jan-21 12:00:00 am,14.6
02-Jan-21 12:00:00 am,14.4
03-Jan-21 12:00:00 am,14.3
04-Jan-21 12:00:00 am,14.2
05-Jan-21 12:00:00 am,14.0
06-Jan-21 12:00:00 am,13.9
07-Jan-21 12:00:00 am,13.8
08-Jan-21 12:00:00 am,13.6
09-Jan-21 12:00:00 am,13.4
10-Jan-21 12:00:00 am,13.2
11-Jan-21 12:00:00 am,13.1
12-Jan-21 12:00:00 am,13.0
13-Jan-21 12:00:00 am,12.9
14-Jan-21 12:00:00 am,12.8
15-Jan-21 12:00:00 am,12.7
16-Jan-21 12:00:00 am,12.6
17-Jan-21 12:00:00 am,12.5
18-Jan-21 12:00:00 am,12.4
19-Jan-21 12:00:00 am,12.4
20-Jan-21 12:00:00 am,12.4
21-Jan-21 12:00:00 am,12.4
22-Jan-21 12:00:00 am,12.3
23-Jan-21 12:00:00 am,12.3
24-Jan-21 12:00:00 am,12.2
25-Jan-21 12:00:00 am,12.1
26-Jan-21 12:00:00 am,12.0
27-Jan-21 12:00:00 am,12.0
28-Jan-21 12:00:00 am,12.0
29-Jan-21 12:00:00 am,12.0
30-Jan-21 12:00:00 am,12.1
31-Jan-21 12:00:00 am,12.1
01-Feb-21 12:00:00 am,12.1
02-Feb-21 12:00:00 am,12.1
03-Feb-21 12:00:00 am,12.2
04-Feb-21 12:00:00 am,12.1
05-Feb-21 12:00:00 am,12.2
06-Feb-21 12:00:00 am,12.2
07-Feb-21 12:00:00 am,12.2
08-Feb-21 12:00:00 am,12.1
09-Feb-21 12:00:00 am,12.0
10-Feb-21 12:00:00 am,11.8
11-Feb-21 12:00:00 am,11.7
12-Feb-21 12:00:00 am,11.5
13-Feb-21 12:00:00 am,11.3
14-Feb-21 12:00:00 am,11.2
15-Feb-21 12:00:00 am,27.5
16-Feb-21 12:00:00 am,11.1
17-Feb-21 12:00:00 am,11.1
18-Feb-21 12:00:00 am,11.1
19-Feb-21 12:00:00 am,11.2
20-Feb-21 12:00:00 am,11.3
21-Feb-21 12:00:00 am,11.4
22-Feb-21 12:00:00 am,11.5
23-Feb-21 12:00:00 am,11.6
24-Feb-21 12:00:00 am,11.8
25-Feb-21 12:00:00 am,11.9
26-Feb-21 12:00:00 am,12.0
27-Feb-21 12:00:00 am,12.2
28-Feb-21 12:00:00 am,12.3
01-Mar-21 12:00:00 am,12.4
02-Mar-21 12:00:00 am,12.4
03-Mar-21 12:00:00 am,12.5
04-Mar-21 12:00:00 am,12.6
05-Mar-21 12:00:00 am,12.6
06-Mar-21 12:00:00 am,12.6
07-Mar-21 12:00:00 am,12.6
08-Mar-21 12:00:00 am,12.6
09-Mar-21 12:00:00 am,12.6
10-Mar-21 12:00:00 am,12.7
11-Mar-21 12:00:00 am,12.8
12-Mar-21 12:00:00 am,12.8
13-Mar-21 12:00:00 am,12.9
14-Mar-21 12:00:00 am,12.9
15-Mar-21 12:00:00 am,12.9
16-Mar-21 12:00:00 am,13.0
