Timestamp,P0034_[MediumArch 2B Space Humidity 1][MediumArch 2B Space Humidity 1] [P34] [S34V] [Synchronized@1800](%RH)
11-Nov-20 12:00:00 am,48.6
12-Nov-20 12:00:00 am,47.8
13-Nov-20 12:00:00 am,47.7
14-Nov-20 12:00:00 am,47.8
15-Nov-20 12:00:00 am,48.0
16-Nov-20 12:00:00 am,47.9
17-Nov-20 12:00:00 am,48.0
18-Nov-20 12:00:00 am,47.8
19-Nov-20 12:00:00 am,47.9
20-Nov-20 12:00:00 am,47.8
21-Nov-20 12:00:00 am,48.2
22-Nov-20 12:00:00 am,48.4
23-Nov-20 12:00:00 am,48.3
24-Nov-20 12:00:00 am,48.3
25-Nov-20 12:00:00 am,48.0
26-Nov-20 12:00:00 am,47.9
27-Nov-20 12:00:00 am,47.8
28-Nov-20 12:00:00 am,48.0
29-Nov-20 12:00:00 am,47.6
30-Nov-20 12:00:00 am,45.3
01-Dec-20 12:00:00 am,46.5
02-Dec-20 12:00:00 am,47.0
03-Dec-20 12:00:00 am,47.1
04-Dec-20 12:00:00 am,47.2
05-Dec-20 12:00:00 am,47.1
06-Dec-20 12:00:00 am,47.2
07-Dec-20 12:00:00 am,47.1
08-Dec-20 12:00:00 am,44.9
09-Dec-20 12:00:00 am,46.0
10-Dec-20 12:00:00 am,47.4
11-Dec-20 12:00:00 am,47.8
12-Dec-20 12:00:00 am,48.5
13-Dec-20 12:00:00 am,47.5
14-Dec-20 12:00:00 am,45.7
15-Dec-20 12:00:00 am,46.5
16-Dec-20 12:00:00 am,45.7
17-Dec-20 12:00:00 am,47.0
18-Dec-20 12:00:00 am,47.2
19-Dec-20 12:00:00 am,47.4
20-Dec-20 12:00:00 am,47.5
21-Dec-20 12:00:00 am,47.5
22-Dec-20 12:00:00 am,46.2
23-Dec-20 12:00:00 am,47.4
24-Dec-20 12:00:00 am,47.6
25-Dec-20 12:00:00 am,47.5
26-Dec-20 12:00:00 am,47.3
27-Dec-20 12:00:00 am,47.5
28-Dec-20 12:00:00 am,47.4
29-Dec-20 12:00:00 am,47.5
30-Dec-20 12:00:00 am,47.4
31-Dec-20 12:00:00 am,47.3
01-Jan-21 12:00:00 am,45.6
02-Jan-21 12:00:00 am,47.0
03-Jan-21 12:00:00 am,47.5
04-Jan-21 12:00:00 am,47.9
05-Jan-21 12:00:00 am,48.2
06-Jan-21 12:00:00 am,48.6
07-Jan-21 12:00:00 am,48.7
08-Jan-21 12:00:00 am,48.6
09-Jan-21 12:00:00 am,48.6
10-Jan-21 12:00:00 am,48.5
11-Jan-21 12:00:00 am,48.8
12-Jan-21 12:00:00 am,49.1
13-Jan-21 12:00:00 am,49.1
14-Jan-21 12:00:00 am,49.3
15-Jan-21 12:00:00 am,49.2
16-Jan-21 12:00:00 am,48.9
17-Jan-21 12:00:00 am,49.1
18-Jan-21 12:00:00 am,49.2
19-Jan-21 12:00:00 am,49.3
20-Jan-21 12:00:00 am,49.5
21-Jan-21 12:00:00 am,49.7
22-Jan-21 12:00:00 am,49.8
23-Jan-21 12:00:00 am,49.9
24-Jan-21 12:00:00 am,49.8
25-Jan-21 12:00:00 am,49.4
26-Jan-21 12:00:00 am,48.4
27-Jan-21 12:00:00 am,49.6
28-Jan-21 12:00:00 am,50.2
29-Jan-21 12:00:00 am,50.8
30-Jan-21 12:00:00 am,50.7
31-Jan-21 12:00:00 am,49.8
01-Feb-21 12:00:00 am,49.8
02-Feb-21 12:00:00 am,49.8
03-Feb-21 12:00:00 am,50.4
04-Feb-21 12:00:00 am,50.4
05-Feb-21 12:00:00 am,50.6
06-Feb-21 12:00:00 am,50.7
07-Feb-21 12:00:00 am,49.8
08-Feb-21 12:00:00 am,49.1
09-Feb-21 12:00:00 am,49.0
10-Feb-21 12:00:00 am,48.8
11-Feb-21 12:00:00 am,48.2
12-Feb-21 12:00:00 am,47.0
13-Feb-21 12:00:00 am,46.3
14-Feb-21 12:00:00 am,46.2
15-Feb-21 12:00:00 am,39.6
16-Feb-21 12:00:00 am,48.8
17-Feb-21 12:00:00 am,49.7
18-Feb-21 12:00:00 am,49.7
19-Feb-21 12:00:00 am,49.5
20-Feb-21 12:00:00 am,50.2
21-Feb-21 12:00:00 am,50.5
22-Feb-21 12:00:00 am,48.8
23-Feb-21 12:00:00 am,46.2
24-Feb-21 12:00:00 am,46.0
25-Feb-21 12:00:00 am,44.2
26-Feb-21 12:00:00 am,46.1
27-Feb-21 12:00:00 am,46.0
28-Feb-21 12:00:00 am,46.5
01-Mar-21 12:00:00 am,44.6
02-Mar-21 12:00:00 am,46.2
03-Mar-21 12:00:00 am,46.2
04-Mar-21 12:00:00 am,46.6
05-Mar-21 12:00:00 am,46.0
06-Mar-21 12:00:00 am,46.1
07-Mar-21 12:00:00 am,46.3
08-Mar-21 12:00:00 am,45.8
09-Mar-21 12:00:00 am,46.1
10-Mar-21 12:00:00 am,46.4
11-Mar-21 12:00:00 am,43.4
12-Mar-21 12:00:00 am,46.0
13-Mar-21 12:00:00 am,46.9
14-Mar-21 12:00:00 am,46.3
15-Mar-21 12:00:00 am,46.6
16-Mar-21 12:00:00 am,45.9
