Timestamp,P0034_[MediumArch 2B Space Humidity 1][MediumArch 2B Space Humidity 1] [P34] [S34V] [Synchronized@1800](%RH)
25-Sep-20 12:00:00 am,48.6
26-Sep-20 12:00:00 am,47.8
27-Sep-20 12:00:00 am,47.5
28-Sep-20 12:00:00 am,47.5
29-Sep-20 12:00:00 am,47.5
30-Sep-20 12:00:00 am,47.5
01-Oct-20 12:00:00 am,47.2
02-Oct-20 12:00:00 am,46.6
03-Oct-20 12:00:00 am,45.7
04-Oct-20 12:00:00 am,45.3
05-Oct-20 12:00:00 am,45.7
06-Oct-20 12:00:00 am,45.8
07-Oct-20 12:00:00 am,45.4
08-Oct-20 12:00:00 am,45.2
09-Oct-20 12:00:00 am,45.2
10-Oct-20 12:00:00 am,44.7
11-Oct-20 12:00:00 am,44.9
12-Oct-20 12:00:00 am,45.4
13-Oct-20 12:00:00 am,45.6
14-Oct-20 12:00:00 am,44.9
15-Oct-20 12:00:00 am,44.3
16-Oct-20 12:00:00 am,45.5
17-Oct-20 12:00:00 am,47.1
18-Oct-20 12:00:00 am,50.0
19-Oct-20 12:00:00 am,51.4
20-Oct-20 12:00:00 am,50.3
21-Oct-20 12:00:00 am,47.3
22-Oct-20 12:00:00 am,46.4
23-Oct-20 12:00:00 am,44.8
24-Oct-20 12:00:00 am,46.0
25-Oct-20 12:00:00 am,45.7
26-Oct-20 12:00:00 am,45.5
27-Oct-20 12:00:00 am,42.5
28-Oct-20 12:00:00 am,41.6
29-Oct-20 12:00:00 am,43.9
30-Oct-20 12:00:00 am,43.3
31-Oct-20 12:00:00 am,43.5
01-Nov-20 12:00:00 am,43.7
02-Nov-20 12:00:00 am,47.7
03-Nov-20 12:00:00 am,46.6
04-Nov-20 12:00:00 am,44.0
05-Nov-20 12:00:00 am,44.3
06-Nov-20 12:00:00 am,46.5
07-Nov-20 12:00:00 am,46.7
08-Nov-20 12:00:00 am,47.2
09-Nov-20 12:00:00 am,48.9
10-Nov-20 12:00:00 am,48.8
