Timestamp,P0027_[Large Arch 2A Space Temp 2][Large Arch 2A Space Temp 2] [P27] [S27V] [Synchronized@1800](°C)
28-Feb-21 12:00:00 am,12.5
01-Mar-21 12:00:00 am,12.5
02-Mar-21 12:00:00 am,12.6
03-Mar-21 12:00:00 am,12.6
04-Mar-21 12:00:00 am,12.7
05-Mar-21 12:00:00 am,12.7
06-Mar-21 12:00:00 am,12.7
07-Mar-21 12:00:00 am,12.7
08-Mar-21 12:00:00 am,12.7
09-Mar-21 12:00:00 am,12.7
10-Mar-21 12:00:00 am,12.8
11-Mar-21 12:00:00 am,12.9
12-Mar-21 12:00:00 am,12.9
13-Mar-21 12:00:00 am,12.9
14-Mar-21 12:00:00 am,12.9
15-Mar-21 12:00:00 am,13.0
16-Mar-21 12:00:00 am,13.0
