Timestamp,P0035_[MediumArch 2B Space Temp 2][MediumArch 2B Space Temp 2] [P35] [S35V] [Synchronized@1800](°C)
25-Sep-20 12:00:00 am,21.7
26-Sep-20 12:00:00 am,21.5
27-Sep-20 12:00:00 am,21.5
28-Sep-20 12:00:00 am,21.3
29-Sep-20 12:00:00 am,21.2
30-Sep-20 12:00:00 am,21.2
01-Oct-20 12:00:00 am,21.1
02-Oct-20 12:00:00 am,21.0
03-Oct-20 12:00:00 am,20.9
04-Oct-20 12:00:00 am,20.7
05-Oct-20 12:00:00 am,20.6
06-Oct-20 12:00:00 am,20.5
07-Oct-20 12:00:00 am,20.3
08-Oct-20 12:00:00 am,20.3
09-Oct-20 12:00:00 am,20.2
10-Oct-20 12:00:00 am,20.0
11-Oct-20 12:00:00 am,19.8
12-Oct-20 12:00:00 am,19.8
13-Oct-20 12:00:00 am,19.6
14-Oct-20 12:00:00 am,19.5
15-Oct-20 12:00:00 am,19.3
16-Oct-20 12:00:00 am,19.3
17-Oct-20 12:00:00 am,19.3
18-Oct-20 12:00:00 am,19.2
19-Oct-20 12:00:00 am,19.2
20-Oct-20 12:00:00 am,19.3
21-Oct-20 12:00:00 am,19.3
22-Oct-20 12:00:00 am,19.2
23-Oct-20 12:00:00 am,19.1
24-Oct-20 12:00:00 am,19.1
25-Oct-20 12:00:00 am,19.1
26-Oct-20 12:00:00 am,19.0
27-Oct-20 12:00:00 am,18.8
28-Oct-20 12:00:00 am,18.8
29-Oct-20 12:00:00 am,18.7
30-Oct-20 12:00:00 am,18.7
31-Oct-20 12:00:00 am,18.7
01-Nov-20 12:00:00 am,18.7
02-Nov-20 12:00:00 am,18.7
03-Nov-20 12:00:00 am,18.7
04-Nov-20 12:00:00 am,18.6
05-Nov-20 12:00:00 am,18.5
06-Nov-20 12:00:00 am,18.4
07-Nov-20 12:00:00 am,18.3
08-Nov-20 12:00:00 am,18.3
09-Nov-20 12:00:00 am,18.4
10-Nov-20 12:00:00 am,18.4
11-Nov-20 12:00:00 am,18.4
12-Nov-20 12:00:00 am,18.4
13-Nov-20 12:00:00 am,18.3
14-Nov-20 12:00:00 am,18.3
15-Nov-20 12:00:00 am,18.3
16-Nov-20 12:00:00 am,18.3
17-Nov-20 12:00:00 am,18.2
18-Nov-20 12:00:00 am,18.2
19-Nov-20 12:00:00 am,18.2
20-Nov-20 12:00:00 am,18.1
21-Nov-20 12:00:00 am,18.0
22-Nov-20 12:00:00 am,18.0
23-Nov-20 12:00:00 am,18.0
24-Nov-20 12:00:00 am,17.9
25-Nov-20 12:00:00 am,17.9
