Timestamp,P0035_[MediumArch 2B Space Temp 2][MediumArch 2B Space Temp 2] [P35] [S35V] [Synchronized@1800](°C)
26-Nov-20 12:00:00 am,17.9
27-Nov-20 12:00:00 am,17.8
28-Nov-20 12:00:00 am,17.7
29-Nov-20 12:00:00 am,17.7
30-Nov-20 12:00:00 am,17.6
01-Dec-20 12:00:00 am,17.6
02-Dec-20 12:00:00 am,17.5
03-Dec-20 12:00:00 am,17.5
04-Dec-20 12:00:00 am,17.4
05-Dec-20 12:00:00 am,17.3
06-Dec-20 12:00:00 am,17.2
07-Dec-20 12:00:00 am,17.0
08-Dec-20 12:00:00 am,16.9
09-Dec-20 12:00:00 am,16.8
10-Dec-20 12:00:00 am,16.7
11-Dec-20 12:00:00 am,16.7
12-Dec-20 12:00:00 am,16.7
13-Dec-20 12:00:00 am,16.6
14-Dec-20 12:00:00 am,16.6
15-Dec-20 12:00:00 am,16.6
16-Dec-20 12:00:00 am,16.6
17-Dec-20 12:00:00 am,16.6
18-Dec-20 12:00:00 am,16.6
19-Dec-20 12:00:00 am,16.7
20-Dec-20 12:00:00 am,16.6
21-Dec-20 12:00:00 am,16.6
22-Dec-20 12:00:00 am,16.7
23-Dec-20 12:00:00 am,16.7
24-Dec-20 12:00:00 am,16.7
25-Dec-20 12:00:00 am,16.6
26-Dec-20 12:00:00 am,16.5
27-Dec-20 12:00:00 am,16.5
28-Dec-20 12:00:00 am,16.4
29-Dec-20 12:00:00 am,16.3
30-Dec-20 12:00:00 am,16.1
31-Dec-20 12:00:00 am,16.0
01-Jan-21 12:00:00 am,15.8
02-Jan-21 12:00:00 am,15.7
03-Jan-21 12:00:00 am,15.6
04-Jan-21 12:00:00 am,15.5
05-Jan-21 12:00:00 am,15.3
06-Jan-21 12:00:00 am,15.2
07-Jan-21 12:00:00 am,15.1
08-Jan-21 12:00:00 am,14.9
09-Jan-21 12:00:00 am,14.7
10-Jan-21 12:00:00 am,14.5
11-Jan-21 12:00:00 am,14.3
12-Jan-21 12:00:00 am,14.3
13-Jan-21 12:00:00 am,14.1
14-Jan-21 12:00:00 am,14.0
15-Jan-21 12:00:00 am,13.9
16-Jan-21 12:00:00 am,13.7
17-Jan-21 12:00:00 am,13.6
18-Jan-21 12:00:00 am,13.5
19-Jan-21 12:00:00 am,13.5
20-Jan-21 12:00:00 am,13.5
21-Jan-21 12:00:00 am,13.5
22-Jan-21 12:00:00 am,13.4
23-Jan-21 12:00:00 am,13.3
24-Jan-21 12:00:00 am,13.3
25-Jan-21 12:00:00 am,13.2
26-Jan-21 12:00:00 am,13.1
27-Jan-21 12:00:00 am,13.2
28-Jan-21 12:00:00 am,13.3
29-Jan-21 12:00:00 am,13.5
30-Jan-21 12:00:00 am,13.5
31-Jan-21 12:00:00 am,13.6
01-Feb-21 12:00:00 am,13.6
02-Feb-21 12:00:00 am,13.6
03-Feb-21 12:00:00 am,13.7
04-Feb-21 12:00:00 am,13.6
05-Feb-21 12:00:00 am,13.7
06-Feb-21 12:00:00 am,13.7
07-Feb-21 12:00:00 am,13.6
08-Feb-21 12:00:00 am,13.5
09-Feb-21 12:00:00 am,13.3
10-Feb-21 12:00:00 am,13.1
11-Feb-21 12:00:00 am,12.9
12-Feb-21 12:00:00 am,12.7
13-Feb-21 12:00:00 am,12.5
14-Feb-21 12:00:00 am,12.3
15-Feb-21 12:00:00 am,28.5
16-Feb-21 12:00:00 am,12.2
17-Feb-21 12:00:00 am,12.3
18-Feb-21 12:00:00 am,12.4
19-Feb-21 12:00:00 am,12.5
20-Feb-21 12:00:00 am,12.6
21-Feb-21 12:00:00 am,12.8
22-Feb-21 12:00:00 am,12.9
23-Feb-21 12:00:00 am,13.0
24-Feb-21 12:00:00 am,13.2
25-Feb-21 12:00:00 am,13.3
26-Feb-21 12:00:00 am,13.4
27-Feb-21 12:00:00 am,13.6
28-Feb-21 12:00:00 am,13.7
01-Mar-21 12:00:00 am,13.8
02-Mar-21 12:00:00 am,13.9
03-Mar-21 12:00:00 am,14.0
04-Mar-21 12:00:00 am,14.0
05-Mar-21 12:00:00 am,14.1
06-Mar-21 12:00:00 am,14.1
07-Mar-21 12:00:00 am,14.1
08-Mar-21 12:00:00 am,14.1
09-Mar-21 12:00:00 am,14.1
10-Mar-21 12:00:00 am,14.2
11-Mar-21 12:00:00 am,14.3
12-Mar-21 12:00:00 am,14.3
13-Mar-21 12:00:00 am,14.4
14-Mar-21 12:00:00 am,14.4
15-Mar-21 12:00:00 am,14.5
16-Mar-21 12:00:00 am,14.5
