Timestamp,P0036_[MediumArch 2B Space Humidity 2][MediumArch 2B Space Humidity 2] [P36] [S36V] [Synchronized@1800](%RH)
28-Feb-21 12:00:00 am,47.7
01-Mar-21 12:00:00 am,45.8
02-Mar-21 12:00:00 am,47.2
03-Mar-21 12:00:00 am,47.3
04-Mar-21 12:00:00 am,47.7
05-Mar-21 12:00:00 am,47.2
06-Mar-21 12:00:00 am,47.2
07-Mar-21 12:00:00 am,47.5
08-Mar-21 12:00:00 am,47.0
09-Mar-21 12:00:00 am,47.2
10-Mar-21 12:00:00 am,47.5
11-Mar-21 12:00:00 am,44.5
12-Mar-21 12:00:00 am,46.9
13-Mar-21 12:00:00 am,47.8
14-Mar-21 12:00:00 am,47.3
15-Mar-21 12:00:00 am,47.6
16-Mar-21 12:00:00 am,47.0
