"Date/Time","Date/Time","No.1","No.2","No.3","No.4","No.5","No.6"
"Date/Time","Date/Time","ch1","ch2","ch3","ch4","Cumulative Illuminance","Cumulative Amount of UV Light"
"","","lx","mW/cm2","°C","%","lxh","W/cm2h"
"2021-08-22 02:51:00","44430.1187500000","0.06","0.000","22.7","52.0","",""
"2021-08-22 03:06:00","44430.1291666667","0.06","0.000","22.7","53.0","",""
"2021-08-22 03:21:00","44430.1395833333","0.06","0.000","22.6","53.0","",""
"2021-08-22 03:36:00","44430.1500000000","0.06","0.000","22.6","53.0","",""
"2021-08-22 03:51:00","44430.1604166667","0.06","0.000","22.6","53.0","",""
"2021-08-22 04:06:00","44430.1708333333","0.06","0.000","22.6","53.0","",""
"2021-08-22 04:21:00","44430.1812500000","0.06","0.000","22.6","53.0","",""
"2021-08-22 04:36:00","44430.1916666667","0.06","0.000","22.6","53.0","",""
"2021-08-22 04:51:00","44430.2020833333","0.15","0.000","22.6","53.0","",""
"2021-08-22 05:06:00","44430.2125000000","0.44","0.000","22.6","53.0","",""
"2021-08-22 05:21:00","44430.2229166667","1.09","0.000","22.6","52.0","",""
"2021-08-22 05:36:00","44430.2333333333","1.39","0.000","22.5","53.0","",""
"2021-08-22 05:51:00","44430.2437500000","3.82","0.000","22.5","53.0","",""
"2021-08-22 06:06:00","44430.2541666667","5.51","0.000","22.5","52.0","",""
"2021-08-22 06:21:00","44430.2645833333","8.10","0.000","22.5","53.0","",""
"2021-08-22 06:36:00","44430.2750000000","10.78","0.000","22.5","53.0","",""
"2021-08-22 06:51:00","44430.2854166667","10.69","0.000","22.5","52.0","",""
"2021-08-22 07:06:00","44430.2958333333","13.97","0.000","22.5","53.0","",""
"2021-08-22 07:21:00","44430.3062500000","24.06","0.000","22.5","53.0","",""
"2021-08-22 07:36:00","44430.3166666667","28.92","0.000","22.5","53.0","",""
"2021-08-22 07:51:00","44430.3270833333","34.20","0.000","22.6","53.0","",""
"2021-08-22 08:06:00","44430.3375000000","37.86","0.000","22.6","53.0","",""
"2021-08-22 08:21:00","44430.3479166667","34.17","0.000","22.6","53.0","",""
"2021-08-22 08:36:00","44430.3583333333","32.53","0.000","22.7","53.0","",""
"2021-08-22 08:51:00","44430.3687500000","35.15","0.000","22.7","53.0","",""
"2021-08-22 09:06:00","44430.3791666667","35.27","0.000","22.8","53.0","",""
"2021-08-22 09:21:00","44430.3895833333","22.26","0.000","22.8","53.0","",""
"2021-08-22 09:36:00","44430.4000000000","49.46","0.000","22.9","53.0","",""
"2021-08-22 09:51:00","44430.4104166667","49.02","0.000","22.9","53.0","",""
"2021-08-22 10:06:00","44430.4208333333","63.34","0.000","23.0","53.0","",""
"2021-08-22 10:21:00","44430.4312500000","53.82","0.000","23.0","53.0","",""
"2021-08-22 10:36:00","44430.4416666667","67.82","0.000","23.0","53.0","",""
"2021-08-22 10:51:00","44430.4520833333","71.50","0.000","23.1","53.0","",""
"2021-08-22 11:06:00","44430.4625000000","48.44","0.000","23.1","53.0","",""
"2021-08-22 11:21:00","44430.4729166667","70.84","0.000","23.1","53.0","",""
"2021-08-22 11:36:00","44430.4833333333","48.30","0.000","23.2","53.0","",""
"2021-08-22 11:51:00","44430.4937500000","67.54","0.000","23.2","53.0","",""
"2021-08-22 12:06:00","44430.5041666667","53.66","0.000","23.2","53.0","",""
"2021-08-22 12:21:00","44430.5145833333","27.40","0.000","23.2","53.0","",""
"2021-08-22 12:36:00","44430.5250000000","27.93","0.000","23.2","53.0","",""
"2021-08-22 12:51:00","44430.5354166667","31.79","0.000","23.3","53.0","",""
"2021-08-22 13:06:00","44430.5458333333","65.20","0.000","23.3","53.0","",""
"2021-08-22 13:21:00","44430.5562500000","74.86","0.000","23.3","53.0","",""
"2021-08-22 13:36:00","44430.5666666667","61.26","0.000","23.3","53.0","",""
"2021-08-22 13:51:00","44430.5770833333","71.24","0.000","23.3","53.0","",""
"2021-08-22 14:06:00","44430.5875000000","92.48","0.000","23.3","53.0","",""
"2021-08-22 14:21:00","44430.5979166667","64.16","0.000","23.3","53.0","",""
"2021-08-22 14:36:00","44430.6083333333","43.88","0.000","23.3","53.0","",""
"2021-08-22 14:51:00","44430.6187500000","56.98","0.000","23.3","53.0","",""
"2021-08-22 15:06:00","44430.6291666667","72.80","0.000","23.3","53.0","",""
"2021-08-22 15:21:00","44430.6395833333","26.22","0.000","23.4","53.0","",""
"2021-08-22 15:36:00","44430.6500000000","37.62","0.000","23.4","53.0","",""
"2021-08-22 15:51:00","44430.6604166667","56.76","0.000","23.4","53.0","",""
"2021-08-22 16:06:00","44430.6708333333","34.11","0.000","23.4","53.0","",""
"2021-08-22 16:21:00","44430.6812500000","30.30","0.000","23.4","53.0","",""
"2021-08-22 16:36:00","44430.6916666667","4.96","0.000","23.4","53.0","",""
"2021-08-22 16:51:00","44430.7020833333","4.13","0.000","23.4","53.0","",""
"2021-08-22 17:06:00","44430.7125000000","7.72","0.000","23.4","53.0","",""
"2021-08-22 17:21:00","44430.7229166667","10.31","0.000","23.4","53.0","",""
"2021-08-22 17:36:00","44430.7333333333","11.03","0.000","23.4","53.0","",""
"2021-08-22 17:51:00","44430.7437500000","13.28","0.000","23.4","53.0","",""
"2021-08-22 18:06:00","44430.7541666667","16.84","0.000","23.3","53.0","",""
"2021-08-22 18:21:00","44430.7645833333","18.29","0.000","23.3","53.0","",""
"2021-08-22 18:36:00","44430.7750000000","12.79","0.000","23.3","53.0","",""
"2021-08-22 18:51:00","44430.7854166667","3.69","0.000","23.3","53.0","",""
"2021-08-22 19:06:00","44430.7958333333","1.57","0.000","23.3","53.0","",""
"2021-08-22 19:21:00","44430.8062500000","0.51","0.000","23.3","53.0","",""
"2021-08-22 19:36:00","44430.8166666667","0.18","0.000","23.3","53.0","",""
"2021-08-22 19:51:00","44430.8270833333","0.06","0.000","23.3","52.0","",""
"2021-08-22 20:06:00","44430.8375000000","0.06","0.000","23.2","53.0","",""
"2021-08-22 20:21:00","44430.8479166667","0.06","0.000","23.2","53.0","",""
"2021-08-22 20:36:00","44430.8583333333","0.06","0.000","23.2","53.0","",""
"2021-08-22 20:51:00","44430.8687500000","0.06","0.000","23.2","53.0","",""
"2021-08-22 21:06:00","44430.8791666667","0.06","0.000","23.1","53.0","",""
"2021-08-22 21:21:00","44430.8895833333","0.06","0.000","23.1","52.0","",""
"2021-08-22 21:36:00","44430.9000000000","0.06","0.000","23.1","53.0","",""
"2021-08-22 21:51:00","44430.9104166667","0.06","0.000","23.1","52.0","",""
"2021-08-22 22:06:00","44430.9208333333","0.06","0.000","23.0","53.0","",""
"2021-08-22 22:21:00","44430.9312500000","0.06","0.000","23.0","53.0","",""
"2021-08-22 22:36:00","44430.9416666667","0.06","0.000","23.0","52.0","",""
"2021-08-22 22:51:00","44430.9520833333","0.06","0.000","23.0","52.0","",""
"2021-08-22 23:06:00","44430.9625000000","0.06","0.000","23.0","53.0","",""
"2021-08-22 23:21:00","44430.9729166667","0.06","0.000","22.9","52.0","",""
"2021-08-22 23:36:00","44430.9833333333","0.06","0.000","22.9","52.0","",""
"2021-08-22 23:51:00","44430.9937500000","0.06","0.000","22.9","53.0","",""
"2021-08-23 00:06:00","44431.0041666667","0.06","0.000","22.9","52.0","",""
"2021-08-23 00:21:00","44431.0145833333","0.06","0.000","22.9","52.0","",""
"2021-08-23 00:36:00","44431.0250000000","0.06","0.000","22.9","53.0","",""
"2021-08-23 00:51:00","44431.0354166667","0.06","0.000","22.8","52.0","",""
"2021-08-23 01:06:00","44431.0458333333","0.06","0.000","22.8","52.0","",""
"2021-08-23 01:21:00","44431.0562500000","0.06","0.000","22.8","53.0","",""
"2021-08-23 01:36:00","44431.0666666667","0.06","0.000","22.8","53.0","",""
